sample,copy,area_season,season,enviro,study.area,domestication,DESCRIPTION,state,grass_cover_percent,grass_cover,elevation,biome,latitude,longitude,collection_time,life_stage,sex_known,sex,BCS_known,horse_BCS,fecal_freshness,stud_pile
ON19,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1367.91,sagerush steppe,40.029558,-112.861124,6/17/2020 10:04,Adult,y,mare,y,5,1,n
ON20,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1368.8,sagerush steppe,40.018957,-112.856453,6/17/2020 11:18,Adult,y,mare,y,5,2,n
ON21,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1368.04,sagerush steppe,40.02168,-112.858365,6/17/2020 11:28,Adult,n,u,y,5,1,n
ON24,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1535.46,sagerush steppe,40.145651,-112.678454,6/17/2020 15:21,Adult,n,u,n,u,2,n
ON25,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1534.68,sagerush steppe,40.146073,-112.678176,6/17/2020 15:29,Adult,n,u,n,u,2,n
ON3,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1509.2,sagerush steppe,40.10062,-112.724612,6/16/2020 17:40,Adult,n,u,n,u,2,n
ON4,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1509.27,sagerush steppe,40.100577,-112.724816,6/16/2020 17:44,Adult,n,u,n,u,2,n
ON5,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1510.16,sagerush steppe,40.099007,-112.723593,6/16/2020 18:00,Adult,y,mare,y,6,1,n
ON9,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1498.51,sagerush steppe,40.097123,-112.72742,6/16/2020 18:25,Adult,n,u,n,u,2,y
PB12,1,PB,summer,n_great_basin,PB,wild,"Palomino Buttes HMA, OR, feces",OR,26.2,high,1369.78,sagerush steppe,43.500526,-119.310064,7/3/2020 14:12,Adult,n,u,n,u,3,y
PB14,1,PB,summer,n_great_basin,PB,wild,"Palomino Buttes HMA, OR, feces",OR,26.2,high,1325.14,sagerush steppe,43.466238,-119.370845,7/3/2020 17:09,Adult,n,u,n,u,4,y
PB16,1,PB,summer,n_great_basin,PB,wild,"Palomino Buttes HMA, OR, feces",OR,26.2,high,1326.26,sagerush steppe,43.466455,-119.370518,7/3/2020 17:16,Adult,n,u,n,u,4,y
PB17,1,PB,summer,n_great_basin,PB,wild,"Palomino Buttes HMA, OR, feces",OR,26.2,high,1319.45,sagerush steppe,43.4603,-119.358214,7/3/2020 17:53,Adult,n,u,n,u,4,n
PB18,1,PB,summer,n_great_basin,PB,wild,"Palomino Buttes HMA, OR, feces",OR,26.2,high,1325.4,sagerush steppe,43.454809,-119.35811,7/3/2020 18:32,Adult,n,u,n,u,3,n
PB19,1,PB,summer,n_great_basin,PB,wild,"Palomino Buttes HMA, OR, feces",OR,26.2,high,1328.91,sagerush steppe,43.454393,-119.358731,7/3/2020 18:35,Adult,n,u,n,u,3,n
PB1,1,PB,summer,n_great_basin,PB,wild,"Palomino Buttes HMA, OR, feces",OR,26.2,high,1338.66,sagerush steppe,43.454052,-119.359309,7/3/2020 18:39,Adult,n,u,n,u,2,n
PB20,1,PB,summer,n_great_basin,PB,wild,"Palomino Buttes HMA, OR, feces",OR,26.2,high,1374.58,sagerush steppe,43.501472,-119.310511,7/3/2020 14:20,Adult,y,stallion,y,6,1,n
PB21,1,PB,summer,n_great_basin,PB,wild,"Palomino Buttes HMA, OR, feces",OR,26.2,high,1339.57,sagerush steppe,43.454073,-119.359364,7/3/2020 18:42,Adult,n,u,n,u,2,n
PB2,1,PB,summer,n_great_basin,PB,wild,"Palomino Buttes HMA, OR, feces",OR,26.2,high,1339.31,sagerush steppe,43.453981,-119.359295,7/3/2020 18:44,Adult,n,u,n,u,2,n
PB4,1,PB,summer,n_great_basin,PB,wild,"Palomino Buttes HMA, OR, feces",OR,26.2,high,1374.13,sagerush steppe,43.50144,-119.310273,7/3/2020 14:25,Adult,n,u,n,u,4,n
PB5,1,PB,summer,n_great_basin,PB,wild,"Palomino Buttes HMA, OR, feces",OR,26.2,high,1374.14,sagerush steppe,43.500958,-119.310093,7/3/2020 14:32,Adult,n,u,n,u,3,y
PB7,1,PB,summer,n_great_basin,PB,wild,"Palomino Buttes HMA, OR, feces",OR,26.2,high,1320.51,sagerush steppe,43.454468,-119.322023,7/3/2020 15:31,Adult,n,u,n,u,4,y
PB8,1,PB,summer,n_great_basin,PB,wild,"Palomino Buttes HMA, OR, feces",OR,26.2,high,1321.21,sagerush steppe,43.454442,-119.321133,7/3/2020 15:37,Adult,n,u,n,u,4,n
PB9,1,PB,summer,n_great_basin,PB,wild,"Palomino Buttes HMA, OR, feces",OR,26.2,high,1322.64,sagerush steppe,43.45552,-119.322595,7/3/2020 15:48,Adult,n,u,n,u,4,n
PN12,1,PN,summer,pinyon_juniper,PN,wild,"Pine Nuts HMA, NV, feces",NV,9.3,low ,1493.01,sagerush steppe,39.24811,-119.497036,6/26/2020 20:26,Adult,n,u,n,u,2,n
PN13,1,PN,summer,pinyon_juniper,PN,wild,"Pine Nuts HMA, NV, feces",NV,9.3,low ,1483.6,sagerush steppe,39.248476,-119.496869,6/27/2020 16:31,Adult,y,mare,y,5,1,n
PN14,1,PN,summer,pinyon_juniper,PN,wild,"Pine Nuts HMA, NV, feces",NV,9.3,low ,1548.84,sagerush steppe,39.248335,-119.483174,6/27/2020 16:58,Adult,n,u,n,u,3,n
PN15,1,PN,summer,pinyon_juniper,PN,wild,"Pine Nuts HMA, NV, feces",NV,9.3,low ,1583.14,sagerush steppe,39.246516,-119.479074,6/27/2020 17:41,Adult,n,u,n,u,2,y
PN16,1,PN,summer,pinyon_juniper,PN,wild,"Pine Nuts HMA, NV, feces",NV,9.3,low ,1582.53,sagerush steppe,39.246644,-119.479099,6/27/2020 17:43,Adult,n,u,n,u,2,n
PN17,1,PN,summer,pinyon_juniper,PN,wild,"Pine Nuts HMA, NV, feces",NV,9.3,low ,1583.61,sagerush steppe,39.246686,-119.479125,6/27/2020 17:46,Adult,n,u,n,u,2,n
PN1,1,PN,summer,pinyon_juniper,PN,wild,"Pine Nuts HMA, NV, feces",NV,9.3,low ,1582.83,sagerush steppe,39.24673,-119.479172,6/27/2020 17:50,Adult,n,u,n,u,2,n
PN20,1,PN,summer,pinyon_juniper,PN,wild,"Pine Nuts HMA, NV, feces",NV,9.3,low ,1492.51,sagerush steppe,39.248056,-119.497143,6/26/2020 20:29,Adult,n,u,n,u,3,n
PN21,1,PN,summer,pinyon_juniper,PN,wild,"Pine Nuts HMA, NV, feces",NV,9.3,low ,1414.03,sagerush steppe,39.215177,-119.570495,6/28/2020 10:50,Adult,y,mare,y,5,1,n
PN22,1,PN,summer,pinyon_juniper,PN,wild,"Pine Nuts HMA, NV, feces",NV,9.3,low ,1418.03,sagerush steppe,39.214648,-119.570877,6/28/2020 10:57,Adult,y,stallion,y,5,1,n
PN23,1,PN,summer,pinyon_juniper,PN,wild,"Pine Nuts HMA, NV, feces",NV,9.3,low ,1411.21,sagerush steppe,39.215368,-119.570715,6/28/2020 11:02,Adult,n,u,n,u,3,n
PN2,1,PN,summer,pinyon_juniper,PN,wild,"Pine Nuts HMA, NV, feces",NV,9.3,low ,1411.09,sagerush steppe,39.215634,-119.57117,6/28/2020 11:11,Adult,n,u,n,u,3,n
PN3,1,PN,summer,pinyon_juniper,PN,wild,"Pine Nuts HMA, NV, feces",NV,9.3,low ,1489.35,sagerush steppe,39.248295,-119.497004,6/26/2020 20:35,Adult,n,u,n,u,1,n
PN4,1,PN,summer,pinyon_juniper,PN,wild,"Pine Nuts HMA, NV, feces",NV,9.3,low ,1489.98,sagerush steppe,39.248375,-119.496916,6/26/2020 20:38,Adult,n,u,n,u,2,n
PN5,1,PN,summer,pinyon_juniper,PN,wild,"Pine Nuts HMA, NV, feces",NV,9.3,low ,1488.47,sagerush steppe,39.248428,-119.496926,6/26/2020 20:40,Adult,n,u,n,u,2,n
RR10,1,RR,summer,mojave,RR,wild,"Red Rock HMA, NV, feces ",NV,8.4,low ,1394.06,desert,35.899851,-115.465468,6/7/2020 8:13,Adult,y,stallion,y,5,1,y
RR11,1,RR,summer,mojave,RR,wild,"Red Rock HMA, NV, feces ",NV,8.4,low ,1310.98,desert,35.870767,-115.476102,6/7/2020 10:34,Adult,y,stallion,y,5,1,n
RR12,1,RR,summer,mojave,RR,wild,"Red Rock HMA, NV, feces ",NV,8.4,low ,1312.55,desert,35.870775,-115.4761,6/7/2020 10:51,Adult,n,u,n,u,3,n
RR13,1,RR,summer,mojave,RR,wild,"Red Rock HMA, NV, feces ",NV,8.4,low ,1312.45,desert,35.870746,-115.47602,6/7/2020 10:54,Adult,n,u,n,u,3,n
RR16,1,RR,summer,mojave,RR,wild,"Red Rock HMA, NV, feces ",NV,8.4,low ,1310.44,desert,35.870769,-115.476006,6/7/2020 10:56,Adult,n,u,n,u,2,n
RR18,1,RR,summer,mojave,RR,wild,"Red Rock HMA, NV, feces ",NV,8.4,low ,1363.03,desert,35.889725,-115.467863,6/7/2020 11:57,Adult,y,stallion,y,5,1,y
RR19,1,RR,summer,mojave,RR,wild,"Red Rock HMA, NV, feces ",NV,8.4,low ,1361.15,desert,35.892313,-115.467079,6/7/2020 12:25,Adult,y,stallion,y,6,1,n
RR1,1,RR,summer,mojave,RR,wild,"Red Rock HMA, NV, feces ",NV,8.4,low ,1247.84,desert,35.863499,-115.460628,6/7/2020 14:34,Adult,y,mare,y,3,1,n
RR2,1,RR,summer,mojave,RR,wild,"Red Rock HMA, NV, feces ",NV,8.4,low ,1394.62,desert,35.899833,-115.465555,6/7/2020 8:15,Adult,y,stallion,y,5,1,n
RR3,1,RR,summer,mojave,RR,wild,"Red Rock HMA, NV, feces ",NV,8.4,low ,1279.72,desert,35.872933,-115.472108,6/7/2020 9:26,Adult,n,u,n,u,3,n
RR4,1,RR,summer,mojave,RR,wild,"Red Rock HMA, NV, feces ",NV,8.4,low ,1305.47,desert,35.871201,-115.476028,6/7/2020 9:54,Adult,n,u,n,u,4,n
RR5,1,RR,summer,mojave,RR,wild,"Red Rock HMA, NV, feces ",NV,8.4,low ,1315.1,desert,35.87079,-115.477416,6/7/2020 10:13,Adult,n,u,n,u,3,n
RR6,1,RR,summer,mojave,RR,wild,"Red Rock HMA, NV, feces ",NV,8.4,low ,1314.87,desert,35.870673,-115.477178,6/7/2020 10:17,Adult,n,u,n,u,2,n
RR8,1,RR,summer,mojave,RR,wild,"Red Rock HMA, NV, feces ",NV,8.4,low ,1311.14,desert,35.870831,-115.476287,6/7/2020 10:28,Adult,n,u,n,u,3,n
RR9,1,RR,summer,mojave,RR,wild,"Red Rock HMA, NV, feces ",NV,8.4,low ,1312.51,desert,35.870691,-115.476216,6/7/2020 10:31,Adult,y,stallion,y,5,1,n
SB10,1,SB,summer,n_great_basin,SB,wild,"Sands Basin HMA, ID, feces ",ID,32.9,high,1286.56,sagebrush steppe,43.41931,-117.008925,7/8/2020 13:13,Adult,n,u,n,u,4,y
SB11,1,SB,summer,n_great_basin,SB,wild,"Sands Basin HMA, ID, feces ",ID,32.9,high,1422.67,sagebrush steppe,43.415514,-117.020904,7/8/2020 19:01,Adult,n,u,n,u,1,y
SB12,1,SB,summer,n_great_basin,SB,wild,"Sands Basin HMA, ID, feces ",ID,32.9,high,1423.54,sagebrush steppe,43.415555,-117.020986,7/8/2020 19:03,Adult,n,u,n,u,1,n
SB13,1,SB,summer,n_great_basin,SB,wild,"Sands Basin HMA, ID, feces ",ID,32.9,high,1449.95,sagebrush steppe,43.416016,-117.023231,7/8/2020 19:09,Adult,n,u,n,u,3,n
SB14,1,SB,summer,n_great_basin,SB,wild,"Sands Basin HMA, ID, feces ",ID,32.9,high,1438.24,sagebrush steppe,43.415836,-117.021956,7/8/2020 19:15,Adult,n,u,n,u,2,y
SB15,1,SB,summer,n_great_basin,SB,wild,"Sands Basin HMA, ID, feces ",ID,32.9,high,1421.69,sagebrush steppe,43.415522,-117.020905,7/8/2020 19:20,Adult,n,u,n,u,4,y
SB16,1,SB,summer,n_great_basin,SB,wild,"Sands Basin HMA, ID, feces ",ID,32.9,high,1418.16,sagebrush steppe,43.415644,-117.020723,7/8/2020 19:25,Adult,n,u,n,u,2,n
SB17,1,SB,summer,n_great_basin,SB,wild,"Sands Basin HMA, ID, feces ",ID,32.9,high,1411.34,sagebrush steppe,43.415823,-117.02062,7/8/2020 19:29,Adult,n,u,n,u,2,n
SB18,1,SB,summer,n_great_basin,SB,wild,"Sands Basin HMA, ID, feces ",ID,32.9,high,1409.32,sagebrush steppe,43.415833,-117.020578,7/8/2020 19:30,Adult,n,u,n,u,2,n
SB1,1,SB,summer,n_great_basin,SB,wild,"Sands Basin HMA, ID, feces ",ID,32.9,high,1262.41,sagebrush steppe,43.440353,-116.982105,7/8/2020 20:17,Adult,y,stallion,y,5,2,n
SB2,1,SB,summer,n_great_basin,SB,wild,"Sands Basin HMA, ID, feces ",ID,32.9,high,1288.08,sagebrush steppe,43.418755,-117.009097,7/8/2020 13:17,Adult,n,u,n,u,5,y
SB3,1,SB,summer,n_great_basin,SB,wild,"Sands Basin HMA, ID, feces ",ID,32.9,high,1289.95,sagebrush steppe,43.417858,-117.009847,7/8/2020 13:21,Adult,n,u,n,u,4,y
SB5,1,SB,summer,n_great_basin,SB,wild,"Sands Basin HMA, ID, feces ",ID,32.9,high,1274.53,sagebrush steppe,43.416048,-117.010249,7/8/2020 13:31,Adult,n,u,n,u,5,y
SB6,1,SB,summer,n_great_basin,SB,wild,"Sands Basin HMA, ID, feces ",ID,32.9,high,1184.89,sagebrush steppe,43.432112,-116.969716,7/8/2020 15:46,Adult,n,u,n,u,4,n
SB9,1,SB,summer,n_great_basin,SB,wild,"Sands Basin HMA, ID, feces ",ID,32.9,high,1426.14,sagebrush steppe,43.416724,-117.021786,7/8/2020 18:53,Adult,n,u,n,u,3,n
SC10,1,SC,summer,n_great_basin,SC,wild,"Saylor Creek HMA, ID, feces",ID,26.9,high,1095.86,sagebrush steppe,42.667989,-115.265566,7/6/2020 14:47,Adult,n,u,n,u,4,n
SC11,1,SC,summer,n_great_basin,SC,wild,"Saylor Creek HMA, ID, feces",ID,26.9,high,1093.63,sagebrush steppe,42.668278,-115.266198,7/6/2020 15:08,Adult,n,u,n,u,3,n
SC12,1,SC,summer,n_great_basin,SC,wild,"Saylor Creek HMA, ID, feces",ID,26.9,high,1094.09,sagebrush steppe,42.668318,-115.266225,7/6/2020 15:10,Adult,n,u,n,u,4,n
SC13,1,SC,summer,n_great_basin,SC,wild,"Saylor Creek HMA, ID, feces",ID,26.9,high,1094.56,sagebrush steppe,42.668255,-115.26635,7/6/2020 15:13,Adult,n,u,n,u,3,n
SC14,1,SC,summer,n_great_basin,SC,wild,"Saylor Creek HMA, ID, feces",ID,26.9,high,1093.63,sagebrush steppe,42.668208,-115.266438,7/6/2020 15:17,Adult,n,u,n,u,2,n
SC15,1,SC,summer,n_great_basin,SC,wild,"Saylor Creek HMA, ID, feces",ID,26.9,high,1093.86,sagebrush steppe,42.66821,-115.266474,7/6/2020 15:20,Adult,n,u,n,u,3,n
SC1,1,SC,summer,n_great_basin,SC,wild,"Saylor Creek HMA, ID, feces",ID,26.9,high,1093.24,sagebrush steppe,42.668144,-115.266457,7/6/2020 15:25,Adult,n,u,n,u,4,n
SC2,1,SC,summer,n_great_basin,SC,wild,"Saylor Creek HMA, ID, feces",ID,26.9,high,1096.27,sagebrush steppe,42.668042,-115.265667,7/6/2020 14:50,Adult,n,u,n,u,3,n
SC3,1,SC,summer,n_great_basin,SC,wild,"Saylor Creek HMA, ID, feces",ID,26.9,high,1094.72,sagebrush steppe,42.668102,-115.265889,7/6/2020 14:52,Adult,n,u,n,u,3,n
SC4,1,SC,summer,n_great_basin,SC,wild,"Saylor Creek HMA, ID, feces",ID,26.9,high,1093.61,sagebrush steppe,42.66813,-115.265983,7/6/2020 14:55,Adult,n,u,n,u,4,n
SC5,1,SC,summer,n_great_basin,SC,wild,"Saylor Creek HMA, ID, feces",ID,26.9,high,1094.92,sagebrush steppe,42.668095,-115.265978,7/6/2020 14:56,Adult,n,u,n,u,4,y
SC6,1,SC,summer,n_great_basin,SC,wild,"Saylor Creek HMA, ID, feces",ID,26.9,high,1094.01,sagebrush steppe,42.668175,-115.266087,7/6/2020 14:59,Adult,n,u,n,u,3,n
SC7,1,SC,summer,n_great_basin,SC,wild,"Saylor Creek HMA, ID, feces",ID,26.9,high,1095.73,sagebrush steppe,42.668179,-115.266144,7/6/2020 15:00,Adult,n,u,n,u,3,n
SC8,1,SC,summer,n_great_basin,SC,wild,"Saylor Creek HMA, ID, feces",ID,26.9,high,1092.95,sagebrush steppe,42.668178,-115.266154,7/6/2020 15:02,Adult,n,u,n,u,4,n
SC9,1,SC,summer,n_great_basin,SC,wild,"Saylor Creek HMA, ID, feces",ID,26.9,high,1092.19,sagebrush steppe,42.668277,-115.266279,7/6/2020 15:04,Adult,n,u,n,u,3,n
SS10,1,SS,summer,n_great_basin,SS,wild,"South Steens HMA, OR, feces",OR,22.4,high,1580.88,sagebrush steppe,42.707443,-118.949934,7/1/2020 18:36,Adult,n,u,n,u,2,n
SS11,1,SS,summer,n_great_basin,SS,wild,"South Steens HMA, OR, feces",OR,22.4,high,1588,sagebrush steppe,42.707236,-118.949109,7/1/2020 18:39,Adult,n,u,n,u,2,y
SS12,1,SS,summer,n_great_basin,SS,wild,"South Steens HMA, OR, feces",OR,22.4,high,1598.34,sagebrush steppe,42.706037,-118.946599,7/1/2020 18:50,Adult,n,u,n,u,2,n
SS13,1,SS,summer,n_great_basin,SS,wild,"South Steens HMA, OR, feces",OR,22.4,high,1641.79,sagebrush steppe,42.637414,-118.808724,7/2/2020 10:05,Adult,n,u,n,u,3,u
SS14,1,SS,summer,n_great_basin,SS,wild,"South Steens HMA, OR, feces",OR,22.4,high,1648.19,sagebrush steppe,42.635498,-118.806187,7/2/2020 10:11,Adult,n,u,n,u,3,n
SS15,1,SS,summer,n_great_basin,SS,wild,"South Steens HMA, OR, feces",OR,22.4,high,1648.75,sagebrush steppe,42.635196,-118.805256,7/2/2020 10:16,Adult,n,u,n,u,3,n
SS16,1,SS,summer,n_great_basin,SS,wild,"South Steens HMA, OR, feces",OR,22.4,high,1648.62,sagebrush steppe,42.635189,-118.805267,7/2/2020 10:18,Adult,n,u,n,u,3,n
SS17,1,SS,summer,n_great_basin,SS,wild,"South Steens HMA, OR, feces",OR,22.4,high,1654.06,sagebrush steppe,42.634918,-118.802967,7/2/2020 10:37,Adult,n,u,n,u,3,n
SS18,1,SS,summer,n_great_basin,SS,wild,"South Steens HMA, OR, feces",OR,22.4,high,1447.08,sagebrush steppe,42.753392,-118.962932,7/2/2020 15:25,Adult,n,u,n,u,4,y
SS20,1,SS,summer,n_great_basin,SS,wild,"South Steens HMA, OR, feces",OR,22.4,high,1446.87,sagebrush steppe,42.75201,-118.962442,7/2/2020 15:35,Adult,n,u,n,u,4,n
SS21,1,SS,summer,n_great_basin,SS,wild,"South Steens HMA, OR, feces",OR,22.4,high,1441.46,sagebrush steppe,42.753866,-118.962017,7/2/2020 15:50,Adult,y,stallion,y,6,1,n
SS22,1,SS,summer,n_great_basin,SS,wild,"South Steens HMA, OR, feces",OR,22.4,high,1441.18,sagebrush steppe,42.753851,-118.961996,7/2/2020 15:51,Adult,n,u,n,u,2,n
SS5,1,SS,summer,n_great_basin,SS,wild,"South Steens HMA, OR, feces",OR,22.4,high,1614.96,sagebrush steppe,42.691269,-118.922823,7/1/2020 15:34,Adult,n,u,n,u,4,n
SS6,1,SS,summer,n_great_basin,SS,wild,"South Steens HMA, OR, feces",OR,22.4,high,1622.59,sagebrush steppe,42.688216,-118.91928,7/1/2020 15:48,Adult,n,u,n,u,4,n
SS9,1,SS,summer,n_great_basin,SS,wild,"South Steens HMA, OR, feces",OR,22.4,high,1576.8,sagebrush steppe,42.707775,-118.951104,7/1/2020 18:26,Adult,n,u,n,u,2,n
SW10,1,SW,summer,n_great_basin,SW,wild,"Stinkingwater HMA, OR, feces ",OR,30.7,high,1193.58,sagebrush steppe,43.674349,-118.460629,7/4/2020 13:18,Adult,n,u,n,u,3,n
SW11,1,SW,summer,n_great_basin,SW,wild,"Stinkingwater HMA, OR, feces ",OR,30.7,high,1458.97,sagebrush steppe,43.681037,-118.535986,7/4/2020 14:51,Adult,n,u,n,u,4,n
SW13,1,SW,summer,n_great_basin,SW,wild,"Stinkingwater HMA, OR, feces ",OR,30.7,high,1461.83,sagebrush steppe,43.681461,-118.536029,7/4/2020 14:56,Adult,n,u,n,u,4,n
SW16,1,SW,summer,n_great_basin,SW,wild,"Stinkingwater HMA, OR, feces ",OR,30.7,high,1497.1,sagebrush steppe,43.582016,-118.517912,7/4/2020 16:11,Adult,n,u,n,u,4,y
SW17,1,SW,summer,n_great_basin,SW,wild,"Stinkingwater HMA, OR, feces ",OR,30.7,high,1482.36,sagebrush steppe,43.670653,-118.536355,7/4/2020 18:11,Adult,n,u,n,u,2,n
SW18,1,SW,summer,n_great_basin,SW,wild,"Stinkingwater HMA, OR, feces ",OR,30.7,high,1480.39,sagebrush steppe,43.670443,-118.536384,7/4/2020 18:36,Adult,n,u,n,u,3,y
SW19,1,SW,summer,n_great_basin,SW,wild,"Stinkingwater HMA, OR, feces ",OR,30.7,high,1481,sagebrush steppe,43.670083,-118.536491,7/4/2020 18:39,Adult,n,u,n,u,3,n
SW1,1,SW,summer,n_great_basin,SW,wild,"Stinkingwater HMA, OR, feces ",OR,30.7,high,1479.21,sagebrush steppe,43.670259,-118.536307,7/4/2020 18:43,Adult,n,u,n,u,2,n
SW2,1,SW,summer,n_great_basin,SW,wild,"Stinkingwater HMA, OR, feces ",OR,30.7,high,1194.02,sagebrush steppe,43.674565,-118.460212,7/4/2020 13:22,Adult,n,u,n,u,2,y
SW3,1,SW,summer,n_great_basin,SW,wild,"Stinkingwater HMA, OR, feces ",OR,30.7,high,1194.97,sagebrush steppe,43.674685,-118.460156,7/4/2020 13:23,Adult,n,u,n,u,2,n
SW4,1,SW,summer,n_great_basin,SW,wild,"Stinkingwater HMA, OR, feces ",OR,30.7,high,1193.04,sagebrush steppe,43.674905,-118.459931,7/4/2020 13:28,Adult,y,mare,y,5,1,n
SW5,1,SW,summer,n_great_basin,SW,wild,"Stinkingwater HMA, OR, feces ",OR,30.7,high,1189.25,sagebrush steppe,43.675427,-118.459325,7/4/2020 13:31,Adult,n,u,n,u,2,n
SW6,1,SW,summer,n_great_basin,SW,wild,"Stinkingwater HMA, OR, feces ",OR,30.7,high,1189.11,sagebrush steppe,43.674521,-118.459731,7/4/2020 13:37,Adult,n,u,n,u,2,n
SW7,1,SW,summer,n_great_basin,SW,wild,"Stinkingwater HMA, OR, feces ",OR,30.7,high,1189.85,sagebrush steppe,43.674346,-118.459508,7/4/2020 13:40,Adult,n,u,n,u,2,n
SW8,1,SW,summer,n_great_basin,SW,wild,"Stinkingwater HMA, OR, feces ",OR,30.7,high,1191.52,sagebrush steppe,43.674171,-118.45976,7/4/2020 13:44,Adult,n,u,n,u,2,n
TP10,1,TP,summer,n_great_basin,TP,wild,"Twin Peaks HMA, CA, feces",CA,19.8,medium,1935.87,sagebrush steppe,40.872576,-120.019708,6/29/2020 9:50,Adult,n,u,n,u,3,n
TP11,1,TP,summer,n_great_basin,TP,wild,"Twin Peaks HMA, CA, feces",CA,19.8,medium,1750.48,sagebrush steppe,40.735649,-120.025351,6/30/2020 10:15,Adult,n,u,n,u,3,y
TP12,1,TP,summer,n_great_basin,TP,wild,"Twin Peaks HMA, CA, feces",CA,19.8,medium,1755.92,sagebrush steppe,40.735323,-120.026014,6/30/2020 10:22,Adult,n,u,n,u,3,y
TP13,1,TP,summer,n_great_basin,TP,wild,"Twin Peaks HMA, CA, feces",CA,19.8,medium,1765.92,sagebrush steppe,40.734351,-120.02686,6/30/2020 10:26,Adult,n,u,n,u,3,n
TP14,1,TP,summer,n_great_basin,TP,wild,"Twin Peaks HMA, CA, feces",CA,19.8,medium,1739.04,sagebrush steppe,40.737996,-120.002485,6/30/2020 12:55,Adult,n,u,n,u,4,y
TP15,1,TP,summer,n_great_basin,TP,wild,"Twin Peaks HMA, CA, feces",CA,19.8,medium,1739.69,sagebrush steppe,40.738086,-120.00256,6/30/2020 12:59,Adult,n,u,n,u,4,y
TP16,1,TP,summer,n_great_basin,TP,wild,"Twin Peaks HMA, CA, feces",CA,19.8,medium,1717.53,sagebrush steppe,40.813768,-120.031361,6/30/2020 15:35,Adult,n,u,n,u,5,y
TP1,1,TP,summer,n_great_basin,TP,wild,"Twin Peaks HMA, CA, feces",CA,19.8,medium,1717.45,sagebrush steppe,40.81405,-120.031195,6/30/2020 15:40,Adult,n,u,n,u,5,y
TP2,1,TP,summer,n_great_basin,TP,wild,"Twin Peaks HMA, CA, feces",CA,19.8,medium,1936.05,sagebrush steppe,40.872218,-120.020025,6/29/2020 9:52,Adult,n,u,n,u,3,n
TP4,1,TP,summer,n_great_basin,TP,wild,"Twin Peaks HMA, CA, feces",CA,19.8,medium,1931.7,sagebrush steppe,40.865477,-120.023985,6/29/2020 10:12,Adult,n,u,n,u,4,y
